STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ANDHRA PRADESH,Sexual Assault,1150,1340,1237,1443,1415,1360,1436,1531,1487,1761,1758,1664
ARUNACHAL PRADESH,Sexual Assault,51,61,35,56,38,40,57,37,60,49,47,47
ASSAM,Sexual Assault,928,1019,1188,1233,1406,1290,1477,1445,1644,1629,1470,1626
BIHAR,Sexual Assault,1400,1304,1120,1157,1455,1451,1816,1464,1086,892,1185,1327
CHHATTISGARH,Sexual Assault,1134,1214,1020,1144,1107,1211,1146,1108,1128,1198,1257,1214
GOA,Sexual Assault,14,12,36,48,34,20,25,41,56,50,34,61
GUJARAT,Sexual Assault,401,378,356,481,501,539,503,529,610,617,621,647
HARYANA,Sexual Assault,539,511,523,573,627,772,607,849,848,866,801,940
HIMACHAL PRADESH,Sexual Assault,152,204,146,187,176,131,197,182,250,197,187,259
JAMMU & KASHMIR,Sexual Assault,222,203,266,271,248,301,331,234,303,266,349,388
JHARKHAND,Sexual Assault,637,873,759,759,732,943,886,802,765,836,758,780
KARNATAKA,Sexual Assault,361,357,410,397,381,475,518,642,595,771,837,842
KERALA,Sexual Assault,712,600,517,562,506,666,555,623,694,659,1226,1259
MADHYA PRADESH,Sexual Assault,3212,3926,3694,4181,3900,3878,4131,3875,4243,4387,4593,4822
MAHARASHTRA,Sexual Assault,1886,1871,1856,1914,2227,2162,2097,2206,2075,2180,2533,2591
MANIPUR,Sexual Assault,17,18,19,29,12,20,12,19,22,22,24,46
MEGHALAYA,Sexual Assault,29,45,50,57,65,71,76,82,110,135,128,182
MIZORAM,Sexual Assault,64,83,70,15,36,77,87,94,81,112,74,122
NAGALAND,Sexual Assault,28,20,14,20,19,29,15,27,27,17,27,26
ODISHA,Sexual Assault,887,820,839,906,838,1020,1026,1045,1119,1363,1224,1666
PUNJAB,Sexual Assault,459,538,574,563,553,618,709,663,681,766,598,895
RAJASTHAN,Sexual Assault,1147,937,928,995,1110,1085,1201,1211,1388,1343,1642,1807
SIKKIM,Sexual Assault,6,2,7,3,8,17,30,24,19,21,25,29
TAMIL NADU,Sexual Assault,565,695,661,681,744,573,615,740,776,777,837,962
TRIPURA,Sexual Assault,139,141,135,190,157,167,165,210,336,320,258,202
UTTAR PRADESH,Sexual Assault,2685,2050,1211,1942,1683,1770,2283,2825,2918,2580,3571,3593
UTTARAKHAND,Sexual Assault,82,142,154,226,225,233,171,108,138,171,149,184
WEST BENGAL,Sexual Assault,1027,1279,1497,1661,2085,2045,2409,1790,1748,2395,1870,1963
TOTAL (STATES),Sexual Assault,19934,20643,19322,21694,22288,22964,24581,24406,25207,26380,28083,30144
A & N ISLANDS,Sexual Assault,3,6,6,11,8,7,3,13,36,39,28,17
CHANDIGARH,Sexual Assault,32,28,32,27,43,27,24,27,38,44,27,34
D & N HAVELI,Sexual Assault,10,3,1,12,6,5,5,8,5,3,4,5
DAMAN & DIU,Sexual Assault,0,0,6,2,1,2,4,0,1,1,0,10
DELHI,Sexual Assault,454,546,624,737,856,778,731,573,557,602,707,892
LAKSHADWEEP,Sexual Assault,0,2,2,0,0,0,1,1,0,0,0,0
PUDUCHERRY,Sexual Assault,13,8,1,6,10,9,14,8,1,5,29,15
TOTAL (UTs),Sexual Assault,512,593,672,795,924,828,782,630,638,694,795,973
TOTAL (ALL-INDIA),Sexual Assault,20446,21236,19994,22489,23212,23792,25363,25036,25845,27074,28878,31117
ANDHRA PRADESH,Kidnapping & Abduction,965,962,878,1105,1230,1326,1674,1606,1889,1722,1698,1764
ARUNACHAL PRADESH,Kidnapping & Abduction,60,57,50,34,28,51,51,57,38,48,67,49
ASSAM,Kidnapping & Abduction,1583,1967,1894,2083,2250,1848,1721,1965,2392,2687,2838,2689
BIHAR,Kidnapping & Abduction,988,1154,877,1606,1518,1961,2085,2382,2397,2503,3565,4639
CHHATTISGARH,Kidnapping & Abduction,223,178,135,225,223,177,196,229,267,352,372,441
GOA,Kidnapping & Abduction,8,9,12,14,18,12,8,28,18,15,16,12
GUJARAT,Kidnapping & Abduction,1063,1007,945,1171,1147,1142,1356,1320,1494,1651,1888,1939
HARYANA,Kidnapping & Abduction,298,328,354,315,274,395,490,594,530,543,548,660
HIMACHAL PRADESH,Kidnapping & Abduction,74,96,76,73,115,77,106,144,102,101,134,131
JAMMU & KASHMIR,Kidnapping & Abduction,633,563,696,672,741,862,959,523,696,509,894,884
JHARKHAND,Kidnapping & Abduction,318,152,336,336,207,378,549,604,397,710,901,1000
KARNATAKA,Kidnapping & Abduction,306,336,242,278,270,357,373,487,506,751,703,1035
KERALA,Kidnapping & Abduction,114,92,104,135,179,219,194,179,202,221,230,253
MADHYA PRADESH,Kidnapping & Abduction,917,1126,918,986,1047,869,906,1013,1060,1303,1473,1648
MAHARASHTRA,Kidnapping & Abduction,1022,977,938,1125,1338,1324,1286,1487,1388,1470,1954,1775
MANIPUR,Kidnapping & Abduction,58,62,67,77,68,49,59,68,95,83,94,101
MEGHALAYA,Kidnapping & Abduction,9,21,4,16,16,27,12,14,17,41,18,6
MIZORAM,Kidnapping & Abduction,5,3,3,0,0,1,0,1,0,0,0,3
NAGALAND,Kidnapping & Abduction,9,4,6,2,6,5,12,5,8,13,3,7
ODISHA,Kidnapping & Abduction,555,534,531,477,530,558,681,633,814,1070,1107,1347
PUNJAB,Kidnapping & Abduction,369,348,253,266,361,471,592,573,566,646,589,731
RAJASTHAN,Kidnapping & Abduction,1261,1103,921,1245,926,1011,942,942,1138,1281,1461,1565
SIKKIM,Kidnapping & Abduction,0,2,0,4,3,0,3,8,7,13,6,8
TAMIL NADU,Kidnapping & Abduction,808,847,856,985,911,1052,1107,1405,1312,1532,1778,1557
TRIPURA,Kidnapping & Abduction,43,60,68,83,69,61,81,112,125,106,113,120
UTTAR PRADESH,Kidnapping & Abduction,4295,3829,2374,3709,3593,4270,5683,8280,10487,11903,19299,20565
UTTARAKHAND,Kidnapping & Abduction,153,244,217,202,223,314,363,203,191,293,295,242
WEST BENGAL,Kidnapping & Abduction,1331,1781,1571,1620,1565,1660,1742,1857,1958,2254,2748,3352
TOTAL (STATES),Kidnapping & Abduction,17468,17842,15326,18844,18856,20477,23231,26719,30094,33821,44792,48523
A & N ISLANDS,Kidnapping & Abduction,4,1,1,2,0,10,6,10,5,11,14,7
CHANDIGARH,Kidnapping & Abduction,43,37,22,61,39,50,45,42,29,23,33,48
D & N HAVELI,Kidnapping & Abduction,3,6,6,6,6,7,7,16,12,7,3,11
DAMAN & DIU,Kidnapping & Abduction,2,0,1,0,4,1,3,0,0,0,8,0
DELHI,Kidnapping & Abduction,298,325,274,331,419,402,352,412,375,366,503,478
LAKSHADWEEP,Kidnapping & Abduction,0,0,0,0,0,0,0,1,0,0,0,0
PUDUCHERRY,Kidnapping & Abduction,1,10,13,6,2,20,14,8,11,22,10,16
TOTAL (UTs),Kidnapping & Abduction,351,379,317,406,470,490,427,489,432,429,571,560
TOTAL (ALL-INDIA),Kidnapping & Abduction,17819,18221,15643,19250,19326,20967,23658,27208,30526,34250,45363,49083
ANDHRA PRADESH,Robbery,1054,1058,1361,1102,1280,1274,1562,1585,1220,1322,1400,1267
ARUNACHAL PRADESH,Robbery,0,0,0,0,0,0,0,0,0,0,0,2
ASSAM,Robbery,95,127,113,161,174,201,172,159,297,263,146,215
BIHAR,Robbery,2899,2538,2488,2317,2323,2674,3265,2605,2908,2508,3900,3994
CHHATTISGARH,Robbery,163,217,224,220,296,273,247,254,353,277,287,211
GOA,Robbery,4,2,2,8,2,0,8,2,3,5,2,0
GUJARAT,Robbery,238,174,147,122,136,150,121,79,53,28,62,38
HARYANA,Robbery,734,635,528,563,481,533,572,622,633,589,457,481
HIMACHAL PRADESH,Robbery,15,13,15,25,6,12,31,8,3,4,8,4
JAMMU & KASHMIR,Robbery,40,27,20,24,26,12,21,25,46,26,12,23
JHARKHAND,Robbery,557,632,578,578,503,557,559,570,562,567,536,444
KARNATAKA,Robbery,422,571,487,553,578,587,582,698,666,621,642,539
KERALA,Robbery,55,44,59,53,31,39,40,35,32,34,25,38
MADHYA PRADESH,Robbery,1503,1822,1812,2257,1992,2203,2127,2302,2474,2564,2144,2142
MAHARASHTRA,Robbery,1009,1222,1459,1235,1379,1348,1349,1464,1233,1438,1261,1141
MANIPUR,Robbery,0,0,0,0,0,0,0,1,0,0,5,0
MEGHALAYA,Robbery,0,0,0,3,1,0,4,2,0,0,3,4
MIZORAM,Robbery,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,Robbery,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,Robbery,603,602,686,932,708,969,958,733,857,988,858,903
PUNJAB,Robbery,450,495,288,345,246,331,316,286,323,288,364,274
RAJASTHAN,Robbery,722,582,582,680,560,665,683,643,553,616,673,631
SIKKIM,Robbery,0,0,0,0,0,0,0,0,0,2,0,9
TAMIL NADU,Robbery,2266,572,484,514,492,457,503,488,430,313,336,278
TRIPURA,Robbery,94,13,41,28,43,25,42,31,60,62,57,87
UTTAR PRADESH,Robbery,6305,5673,3792,4836,4523,5280,7310,8541,9203,9250,9795,9884
